LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
Team member - corporate,,,Hamad Al Kuwari,"Managing Director, Qatar Science & Technology ParkHamad Al Kuwari is the Managing Director of Qatar Science and Technology Park (QSTP), a member of Qatar Foundation. Mr. Al Kuwari is responsible for driving the growth of technology development within the four pillars of the Qatar National Research Strategy (QNRS); Energy, Environment, Information Communication Technologies and Health Sciences. Additionally, he takes a lead role in identifying opportunities for synergy between the various members of Qatar Science & Technology Park, which is increasingly engaging in QNRS-driven activities; as well as liaising with governmental agencies on areas of research collaboration. Prior to joining QSTP, Mr. Al Kuwari was responsible for the reliability of the ORYX GTL plant in Qatar, with a remit that included oversight of the maintenance support section of the plant. His professional background also includes a key role at Qatar Petroleum, where his project management skills were honed from a rich experience in both offshore projects, and the major projects department.Hamad holds a Bachelor's degree in Mechanical Engineering from McNeese State University in Louisiana, USA, and a Master's degree in Business Administration (MBA) from Qatar University.  Al Kuwari is  on the Joint Advisory Board (JAB) of Texas A&M Qatar and Qatar Foundation, which was established in May 2003.Hamad is an accomplished public speaker, and is fluent in both Arabic and English.",hamad-kuwari.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Oscar Barranco Liebana,"Projects Advisor, Office of the Secretary General in the Supreme Committee for Delivery and Legacy in QatarOscar Barranco is Projects Advisor in the Office of the Secretary General in the Supreme Committee for Delivery and Legacy in Qatar. His main mission in the Supreme Committee is to develop and enhance strong innovation capabilities and solutions to deliver an amazing FIFA World Cup in 2022, as well as a strong legacy towards the national vision plan for 2030.During the last 15 years, he has developed different roles:* As engineer, he worked in Germany in the automotive, aerospace and semiconductor industry for companies as Airbus Group or Daimler AG in micro- and nanotechnology.* As policy maker, he developed an innovation plan in order to build a Regional Innovation System in Spain, with a budget of 4.500M euros, in the areas of industry, R&D, University, Entrepreneurship, Energy, Environment and Information Society.* As entrepreneur, he founded 2 companies and mentored different social and technological start-ups and entrepreneurs.* As innovation management consultant, he delivered innovation projects related to business model innovation, business differentiation, industrial clusters, Science and Technology Parks, non-profit organizations, EU R&D Framework Programme or National Innovation Systems in diverse European countries, among others. He holds a BSc in Mechanical Engineering, an MSc in Microsystems Engineering and a Global Executive MBA from IE Business School with honors. He speaks English, German and Spanish.",oscar-barranco.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Pontus All,"Entrepreneurship Manager - Qatar Science & Technology ParkPontus is working as the Entrepreneurship Manager at Qatar Science & Technology Park (QSTP), where he focuses on supporting new innovation-based startups and aspiring entrepreneurs. Pontus holds a M.Sc in Computer Science & Computer Engineering from Chalmers University of Technology as well as a B.Sc in BA from University West. Prior to joining QSTP, Pontus has worked with business development and innovation within the automotive industry as well as for a management consultancy company. Outside of work, he is a passionate floorball player and home renovator.",pontus-all.jpg,,,,,,,,,,,,,,,,,
Team member - risk capital,,,Haya Al Ghanim,"Haya's career has been focused on enabling entrepreneurs to achieve their potential. She is 2014 MIT Sloan MBA graduate with a B.A. in Molecular, Cellular and Developmental Biology from the University of Colorado - Boulder. She's currently the Innovation Director at the Qatar Science & Technology Park (QSTP) where she focuses on creating an environment supportive of technology ventures. Haya is also an amateur athlete, angel investor and former co-Managing Director of the MIT $100K Entrepreneurship Competition.",haya-al-ghanim.jpg,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Zeyad Al Jaidah,"Co-Founder & Managing Director, TechnoQZeyad Mohammed Al Jaidah is the co-founder and Managing Director of Techno Q and CEO of Build-A-Bear Workshop overseeing operations for the Gulf States. Zeyad Al Jaidah graduated from Lamar University, Texas, USA, with a B.Sc. degree in mechanical engineering and began his career as a maintenance engineer with Qatar Petrochemical Co. in 1995. The same year he joined his partner Abdullah Al Ansari in founding Techno Q, a company specialising in low current systems integration and solutions. In 1998 he moved to the Ministry of Municipal Affairs and Agriculture as design engineer for the drainage department. In 2003 Zeyad Al Jaidah decided to fully concentrate on Techno Q as the company was carving out a niche for itself in the Qatar market. This move took the company into overdrive and Techno Q was soon winning projects for prestigious corporate clients.Techno Q is today a leading provider of integrated systems solutions in the region, specialising in audiovisual, building controls, fire & security systems, lighting, information technology, broadcast, and hospitality management solutions. Employing the latest technology and system components, Techno Q works with clients in every sector, creating facilities for educational and governmental institutions, banking, healthcare, sporting venues and stadia, corporate offices, hotels, and international retailers. The company's fast climb to occupy a position as one of the market leaders within the industry is a testament to the foresight and ambition of its founders.",zeyad-j.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Hamad Khamis Al Kubaisi,"Executive Director of Strategy & Business Development, QDBMr. Hamad Khamis Al Kubaisi was appointed Executive Director of Strategy and Business Development at QDB in February of 2014. Mr. Al Kubaisi's has nearly fifteen years of project and business management experience, spanning the telecommunications, and information technology. He is also actively involved in several local and international initiatives including the UK Foreign Commonwealth Office's Future International Leaders Program. Mr. Al Kubaisi holds a bachelor's degree in Electrical Engineering from Qatar University and an Executive MBA in Entrepreneurship and Innovation from HEC Paris, in addition to many industrial certificates.In addition to his role he is also board member of Bedaya center1, which focuses on career development and accelerate entrepreneurial spirit within Qatar.http://www.bedaya.qa",hamad-k.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Aysha Al Mudehki,"Chief Executive Officer, Qatar Business Incubation CenterAysha Al Mudahka is the CEO of Qatar Business Incubation Center since July 2014. Before that Aysha was the Executive Director of INJAZ Qatar in March 2011. She began her career with INJAZ in 2007 as a volunteer. Prior to that, Al Mudehka worked at the Qatar Financial Centre (QFC) and the Qatar Finance and Business Academy (QFBA). In addition to her commitment to her professional career, Al Mudahka dedicates time pursuing personal interests. She is a founding member of the Roudha Centre, a woman's Entrepreneurship and Innovation center. She is member of the Global Shapers Community (part of World Economic Forum) and a board member of Injaz Qatar. A Qatari national, born and raised in the State of Qatar, Al Mudahka has completed postgraduate programs at Wharton School of Business at the University of Pennsylvania and Carnegie Mellon University Qatar and is a graduate of Qatar University. Aysha is currently doing her Executive MBA in HEC Paris.",aysha-mudehki.jpg,,,,,,,,,,,,,,,,,
Team member - champion,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,
1,To be completed by REAP team (mostly publicly available data),,,,,,,,,,,,,,,,,,,,,
3,May not be public,,,,,,,,,,,,,,,,,,,,,
*,Public data,,,,,,,,,,,,,,,,,,,,,
To be completed at workshop 3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
