LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
Regional Entreprenur,,,Ong Peng Tsin,ong-peng.jpg,"Ong was the Founder and CEO of Interwoven (successfully IPO), a Co-founder of Match.com (acquired by IAC), and a founder of Encentuate (acquired by IBM). The three businesses he started generate annual revenues that total more than US$1 billion. Ong was also a partner at GSR Ventures, a leading VC in China.  Ong is now a Partner at Monk’s Hill Ventures, a technology ventures fund based in Southeast Asia. Ong has also served in numerous boards and committees including Singapore’s Economic Review Committee, Infocomm Development Authority of Singapore, and National Research Foundation of Singapore. ",,,,,,,,,,,,,,,,,
Regional Entreprenur,,,Sim Wong Hoo,sim-wong.jpg,"·       Founder of Creative Technologies, notable for products such as the Soundblaster audio card. One of the respected and regarded pioneer technopreneurs in Singapore.  ",,,,,,,,,,,,,,,,,
PPI (Programmatic & policy interventions),,,,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,,"Smart Nation Platform, IDA",,"a new platform that encompasses the necessary infrastructure and technical architecture to support a smart nation ecosystem. It is built around three focus areas: Connect, Collect and Comprehend.  ",,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,,"The Intellectual Property Hub Master Plan, Ministry of Law",," The government aims to provide a vibrant IP marketplace to support regional and international transaction and management of IP, provide strong value proposition for IP owners to file their IP in Singapore, and finally to be a hub for IP dispute resolution. ",,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,,"Productivity and Innovation Credit Scheme, IRAS",,"·       Under the PIC Scheme, businesses can enjoy 400% tax deductions/allowances and/or 60% cash payout for investments made in any of the Six Qualifying Activities from the Years of Assessment (YAs) 2013 to 2018. PIC Scheme are targeted at businesses that are investing in activities related to innovation. The grant is specially offered for small and medium enterprises (SMEs) who want to grow successful businesses in Singapore.",,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,,Spring Singapore,,help Singapore enterprises grow and build trust in Singapore products and services. SPRING offers various initiatives such as grants and tax schemes that helps nurture start-ups and grow businesses. ,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,,Space@ACE (Action Community for Entrepreneurship),,"·    ACE will be managing the Welcome Centre at Blk 79 of JTC LaunchPad @ one-north, where entrepreneurs will have an array of professional services at their disposal to give their ideas that much needed boost. ACE will also be offering an ideation space for start-ups to develop and grow their ideas which doubles up as an event venue.",,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,,"Company Registration Policies, ACRA",,·       The policies for setting up a new company in Singapore is simplified and streamlined to encourage entrepreneurship. Registration for a local company online is only a 15 minutes process.  ,,,,,,,,,,,,,,,,,
REAP Initiative,,,,,,,,,,,,,,,,,,,,,,
REAP Initiative,,,,,,,,,,,,,,,,,,,,,,
REAP initiative,,,,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Steve Leonard,"Executive Deputy Chairman, Infocomm Development Authority of Singapore (IDA)Mr Steve Leonard is an industry veteran with more than 28 years of experience working in leading global technology companies. Prior to joining IDA, Mr Leonard was the President of EMC Asia Pacific and Japan (APJ) where he was  responsible for driving EMC's growth and market share leadership in APJ, enhancing partner and channel relationships and contributing to product-development efforts throughout the region. Before joining EMC, he served as President of the Asia Pacific and Japan business for Symantec and Veritas. Prior to those executive management positions, Mr Leonard spent 18 years with EDS, where he focused on European and Asian operations for 12 years, ultimately rising to the position within EDS of President of Solutions Consulting for Europe, the Middle East, and Africa. Mr. Leonard currently sits on the Boards of IDA Singapore, IDA International and Infocomm Investments Pte Ltd.",steve-leonard.jpg,,,https://www.linkedin.com/in/steveleonardsingapore,,,,,,,,,,,,,,
Team member - university,,,Dr. Alex Lin,"Head, Infocomm Investments Pte LtdAs Head of Infocomm Investments Pte Ltd, Dr. Alex LIN led the team of investment professionals to develop the infocomm start-ups ecosystem in Singapore, through strategic investments in promising companies. Regionally, Alex has led several technology infrastructure investments in China, such as technology park development, and High Temperature Conversion of Waste installations. Prior to his investment and mentoring roles, Alex was the Chief Technology Officer and Senior Vice President of Operation & Technology in SembCorp Logistics, where he led teams of professionals in sales acquisition and maintenance of technology infrastructures. Before joining SembCorp Logistics Ltd, Alex started Asia first wireless ISP, and successfully expanded regionally to China and Indonesia before merging into larger incumbent telco in the territories.  Alex also started and exited several technology-based companies. Before his entrepreneurial journey, Alex held senior positions in global companies such as FedEx where he created Asian's global sales division and managed the starting up of Subic Bay regional logistics hub.  He was the General Manager of Hewlett Packard Internet Business Unit during the dotcom era where he built the unit by aggressive acquisition of technology companies.",alex-lin.jpg,,,http://www.infocomminvestments.com/2011/dr-alex-lin-2/,,,,,,,,,,,,,,
Team member - government,,,Ong Peng Tsin,"Director, Banean HoldingsPeng is a director at Banean Holdings and an advisor to GSR Ventures. He is an independent board director of YY Inc. [NASDAQ:YY] and the National Research Foundation of Singapore. He was on the board of SingTel through July 2013, and still chairs SingTel's Group Enterprise's Advisory Committee. Peng is a trustee of the Singapore University of Technology & Design and sits on the Strategic Advisory Board of the Chancellor of the University of Illinois. Peng founded Encentuate in 2002. From 2008 through 2009, he was an executive at IBM, after Encentuate's acquisition. Prior to founding Encentuate, Peng was the founder and chairman of Interwoven, Inc. (now part of HP), the leading provider of content infrastructure. He was the president and CEO of Interwoven through 1997, and its chairman through 2002. Before Interwoven, Peng was co-founder and chief architect of Electric Classifieds, Inc.—the creators of Match.com (now part of IAC). He has also held various engineering and management roles at Sybase, Inc.  (now SAP), Illustra (now IBM Informix), and Gensym Corporation. Peng co-authored numerous patents for technologies developed at his companies.",ong-peng.jpg,,,http://www.monkshill.com/#team,,,,,,,,,,,,,,
