LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,
REAP initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Francisco Sanchis,,,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Jose Ma Gimeno,,,,,,,,,,,,,,,,,,,
Team member - university,,,Francisco Mora,"Rector, UPVDegree of Telecommunication Engineering (MSc) at Universidad Politecnica de Cataluna (Barcelona, Spain). During the years 1993-1997 the European Laboratory for Particle Physics (CERN) grants a scholarship ""Doctoral Student"" for his PhD in the group of electronics and data acquisition for the experiment ATLAS (Geneva, Switzerland). (1997) PhD in Electronic Engineering at Universitat Politecnica de Valencia (Valencia, Spain). In 2003 obtained the post of Full-Professor of Electronic Engineering at Universitat Politecnica de Valencia (UPV). His research work is developed in the Institute for Molecular Imaging Instrumentation (Joint Center UPV-CSIC-CIEMAT), in the area of  data acquisition systems for high energy physics and electronic instrumentation for medical physics. Professor Mora maintain collaborations with CERN as an associate scientist, by participating in the NEXT and RD51 projects. Since June 2013 Professor Mora is Rector of the UPV.",francisco-mora.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,"Jose E Capilla Roma, PhD","Vice-rector for Research, Innovation and Transfer, UPVFull-professor of Applied Physics; research interest focused on Water and Environmental Eng. Graduated in Civil Engineering at UPV, and PhD degree in Water Resources Eng. He has occupied different academic and management positions at the School of Civil Eng. (UPV), Vice-rector for Academic Affairs (UPV) and Director of the Research Institute of Water and Environmental Eng. (UPV). Also General Director of Universities and Higher Education in the Valencian Region (2004-07). Visiting Scientist at Stanford University (1995 & 1998) and Visiting Professor at Ralph Parsons Lab (Massachusetts Institute of Technology, 1999-2000). In 1999 he was awarded with Premio de Tecnologia de Residuos (Research Award in Waste Technologies) in the Valencian Region.Active researcher with a record of more than fifty research and technological projects (regional, national and international; private and public sectors), more than sixty peer reviewed publications and close to two hundred communications in National/International Meetings.",jose-capilla.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Ignacio Alberola,"CEO, La EspanolaStudied a degree in Economics at Valencia University and an MBA in ESADE (Barcelona) in 1997/1999. He has worked in different positions in LA ESPANOLA Group, a family company founded on 1941, involved in the Food Industry. Today CEO of LA ESPANOLA Group, which is involved the development of new technological products: Biotech concept and  X-ray inspection systems on  Security and Defense Markets. Based in Alcoy, LA ESPANOLA Group is leading a project to develop innovative entrepreneurship called Alcoinnova.",ignacio-alberola.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Vicent Marza,,,,,,,,,,,,,,,,,,,
Team member - risk capital,,,Enrique Martinavarro,,,,,,,,,,,,,,,,,,,
Team member - government,,,Monica Cucarella,"General Director for InternationalisationMonica Cucarella Perez is graduated in Business Sciencies and Economics from the University of Valencia. She also has a Master in Foreign Trade. She has held various responsibilities as financial consultant and private banking managing director in London, in financial entities as Royal Bank of Canada, Barclays Private Banking, Morgan Stanley Dean Witter and Banco Bilbao Vizcaya. Currently, Monica Cucarella is General Director of Internationalisation of the Regional Ministry of Economy, Industry, Commerce and Employment in the Valencian Government. ",,,,,,,,,,,,,,,,,,
